id;page;category_group;category;name;description;unit;volume;quantity;price;currency;availability;picture
53;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка Биотекс стандарт полисандр 1л.;tratata;1;шт.;many;92,6;грн.;true;img\decorationmaterials\Building mixture\Primers\TikurilaBioteck.jpg
54;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка Биотекс стандарт полисандр 3л.;tratata;1;шт.;many;271,95;грн.;true;img\decorationmaterials\Building mixture\Primers\TikurilaBioteck.jpg
55;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка Биотекс стандарт сосна 10л.;tratata;1;шт.;many;822,75;грн.;true;img\decorationmaterials\Building mixture\Primers\TikurilaBioteck.jpg
56;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка Биотекс стандарт сосна 1л.;tratata;1;шт.;many;92,6;грн.;true;img\decorationmaterials\Building mixture\Primers\TikurilaBioteck.jpg
57;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка Биотекс стандарт сосна 3л.;tratata;1;шт.;many;271,95;грн.;true;img\decorationmaterials\Building mixture\Primers\TikurilaBioteck.jpg
58;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка Биотекс стандарт тик 10л.;tratata;1;шт.;many;822,75;грн.;true;img\decorationmaterials\Building mixture\Primers\TikurilaBioteck.jpg
59;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка Биотекс стандарт тик 1л.;tratata;1;шт.;many;92,6;грн.;true;img\decorationmaterials\Building mixture\Primers\TikurilaBioteck.jpg
60;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка Биотекс стандарт тик 3л.;tratata;1;шт.;many;271,95;грн.;true;img\decorationmaterials\Building mixture\Primers\TikurilaBioteck.jpg
61;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка Биотекс Эффект Профи бесцветный 0,9л.;tratata;1;шт;many;149,52;грн.;true;img\decorationmaterials\Building mixture\Primers\8fd9e0e6ef1694eaeaaed3720627435c.jpeg
62;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка Биотекс Эффект Профи бесцветный 2,7л.;tratata;1;шт;many;380,72;грн.;true;img\decorationmaterials\Building mixture\Primers\8fd9e0e6ef1694eaeaaed3720627435c.jpeg
